sourceAppName,externalShopId,externalDocumentId,externalDatalineId,lineNumber,datalineType,description,partNumber,cost,laborRate,quantityOrHours,subtotal,taxable
Tekmetric,15522,DOC-1027,LINE-5067,2,2,Engine Air Filter,P-AIRFIL-12,95.00,,1.0,95.00,1
Tekmetric,15522,DOC-1028,LINE-5068,1,1,Spark Plug Replacement,JOB-SPARKPLUG,0,160.00,2.0,320.00,1
Tekmetric,15522,DOC-1028,LINE-5069,2,2,Iridium Spark Plugs,P-SPARKPLUG-IR,62.69,,4.0,250.75,1
Tekmetric,15522,DOC-1029,LINE-5070,1,1,Thermostat Replacement,JOB-THERMO,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1029,LINE-5071,2,2,Thermostat & Gasket,P-THERMO-14,80.00,,1.0,80.00,1
Tekmetric,15522,DOC-1030,LINE-5072,1,1,Ball Joint Replacement,JOB-BALLJOINT,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1030,LINE-5073,2,2,Lower Ball Joint,P-BALLJOINT-L,212.50,,2.0,425.00,1
Tekmetric,15522,DOC-1031,LINE-5074,1,1,Brake Caliper Service,JOB-CALIPER,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1031,LINE-5075,2,2,Caliper Pin Kit,P-CALIPERPIN,47.50,,2.0,95.00,1
Tekmetric,15522,DOC-1032,LINE-5076,1,1,Wheel Bearing Replacement,JOB-WBEARING,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1032,LINE-5077,2,2,Front Wheel Hub Assembly,P-WHUB-F,180.00,,1.0,180.00,1
Tekmetric,15522,DOC-1033,LINE-5078,1,1,Replace Fuel Pump,JOB-FUELPUMP,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1033,LINE-5079,2,2,Fuel Pump Module,P-FUELPUMP-M-03,220.00,,1.0,220.00,1
Tekmetric,15522,DOC-1034,LINE-5080,1,1,Fuse Replacement,JOB-FUSE,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1034,LINE-5081,2,2,10A Blade Fuse,P-FUSE-10A,7.00,,5.0,35.00,1
Tekmetric,15522,DOC-1035,LINE-5082,1,1,Shocks and Struts Inspection,JOB-SHOCKS,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1035,LINE-5083,2,2,Rear Shock Absorber,P-SHOCK-R-05,62.50,,2.0,125.00,1
Tekmetric,15522,DOC-1036,LINE-5084,1,1,Washer Fluid Refill,JOB-WASHER,0,165.00,0.5,82.50,1
Tekmetric,15522,DOC-1036,LINE-5085,2,2,Washer Fluid,P-WASHER,10.00,,4.0,40.00,1
Tekmetric,15522,DOC-1037,LINE-5086,1,1,Catalytic Converter Replacement,JOB-CAT,0,165.00,2.0,330.00,1
Tekmetric,15522,DOC-1037,LINE-5087,2,2,Catalytic Converter,P-CAT-07,450.00,,1.0,450.00,1
Tekmetric,15522,DOC-1038,LINE-5088,1,1,Oxygen Sensor Replacement,JOB-O2,0,145.00,1.0,145.00,1
Tekmetric,15522,DOC-1038,LINE-5089,2,2,Oxygen Sensor,P-O2-08,90.00,,1.0,90.00,1
Tekmetric,15522,DOC-1039,LINE-5090,1,1,CV Axle Replacement,JOB-CVAXLE,0,145.00,1.0,145.00,1
Tekmetric,15522,DOC-1039,LINE-5091,2,2,CV Axle Assembly,P-CVAXLE-09,180.00,,1.0,180.00,1
Tekmetric,15522,DOC-1040,LINE-5092,1,1,Ignition Coil Replacement,JOB-IGNCOIL,0,145.00,2.0,290.00,1
Tekmetric,15522,DOC-1040,LINE-5093,2,2,Ignition Coil,P-IGNCOIL-10,55.00,,4.0,220.00,1
Tekmetric,15522,DOC-1041,LINE-5094,1,1,State Inspection,JOB-INSPECT,0,160.00,1.0,160.00,0
Tekmetric,15522,DOC-1041,LINE-5095,2,2,Inspection Sticker,P-STICKER,75.00,,1.0,75.00,0
Tekmetric,15522,DOC-1042,LINE-5096,1,1,Headlight Restoration,JOB-HEADRESTO,0,160.00,0.5,80.00,1
Tekmetric,15522,DOC-1042,LINE-5097,2,2,Restoration Kit,P-RESTOKIT,12.00,,1.0,12.00,1
Tekmetric,15522,DOC-1043,LINE-5098,1,1,Mass Airflow Sensor Cleaning,JOB-MAF,0,160.00,2.0,320.00,1
Tekmetric,15522,DOC-1043,LINE-5099,2,2,MAF Sensor Cleaner Spray,P-MAFCLN,15.00,,2.0,30.00,1
Tekmetric,15522,DOC-1043,LINE-5100,3,2,New Mass Airflow Sensor,P-MAF-13,270.00,,1.0,270.00,1
Tekmetric,15522,DOC-1044,LINE-5101,1,1,EGR Valve Replacement,JOB-EGR,0,150.00,3.0,450.00,1
Tekmetric,15522,DOC-1044,LINE-5102,2,2,EGR Valve,P-EGR-14,500.00,,1.0,500.00,1
Tekmetric,15522,DOC-1045,LINE-5103,1,1,Transfer Case Fluid Change,JOB-TCASE,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1045,LINE-5104,2,2,Transfer Case Fluid,P-TCASE-FL,75.00,,2.0,150.00,1
Tekmetric,15522,DOC-1046,LINE-5105,1,1,Tire Patch Repair,JOB-TIREPATCH,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1046,LINE-5106,2,2,Tire Plug Kit,P-PLUGKIT,85.00,,1.0,85.00,1
Tekmetric,15522,DOC-1047,LINE-5107,1,1,PCV Valve Replacement,JOB-PCV,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1047,LINE-5108,2,2,PCV Valve,P-PCV-02,125.00,,1.0,125.00,1
Tekmetric,15522,DOC-1048,LINE-5109,1,1,Glove Box Latch Repair,JOB-GLOVEBOX,0,150.00,0.5,75.00,1
Tekmetric,15522,DOC-1048,LINE-5110,2,2,Latch Assembly,P-LATCH-03,25.00,,1.0,25.00,1
Tekmetric,15522,DOC-1049,LINE-5111,1,1,Window Motor Replacement,JOB-WINMOTOR,0,150.00,2.0,300.00,1
Tekmetric,15522,DOC-1049,LINE-5112,2,2,Window Regulator & Motor,P-WINMOTOR-04,290.00,,1.0,290.00,1
Tekmetric,15522,DOC-1050,LINE-5113,1,1,Horn Replacement,JOB-HORN,0,150.00,1.0,150.00,1
Tekmetric,15522,DOC-1050,LINE-5114,2,2,High-Tone Horn,P-HORN-HI,97.50,,2.0,195.00,1
